run_id,policy,outcome
278,random,46872
278,causal,49920
278,treat_none,45472
279,treat_all,60141
279,random,47393
279,treat_none,45958
279,causal,50277
279,score,50277
280,random,47254
280,score,50258
280,treat_all,59998
280,treat_none,45845
280,causal,50258
281,treat_none,45547
281,causal,49922
281,random,46898
281,score,49922
281,treat_all,59670
282,causal,50143
282,score,50143
282,treat_none,45678
282,random,47122
282,treat_all,60023
283,score,50176
283,treat_none,45720
283,treat_all,59775
283,random,47182
283,causal,50176
284,score,50052
284,causal,50052
284,treat_none,45725
284,random,47070
284,treat_all,59927
285,treat_all,59866
285,causal,50213
285,treat_none,45788
285,score,50213
285,random,47234
286,treat_none,45913
286,score,50327
286,treat_all,59830
286,causal,50327
286,random,47362
287,random,47256
287,treat_none,45809
287,score,50254
287,treat_all,60028
287,causal,50254
288,treat_all,59629
288,causal,50002
288,random,46906
288,treat_none,45538
288,score,50002
289,treat_none,45672
289,random,47155
289,treat_all,59696
289,causal,50020
289,score,50020
290,treat_none,45809
290,treat_all,59920
290,random,47250
290,score,50131
290,causal,50131
291,treat_none,45627
291,causal,50018
291,treat_all,59889
291,random,47071
291,score,50018
292,score,50496
292,treat_none,46125
292,treat_all,60237
292,causal,50496
292,random,47574
293,random,47146
293,treat_none,45720
293,treat_all,59854
293,causal,50064
293,score,50064
294,treat_all,59867
294,score,50196
294,causal,50196
294,random,47183
294,treat_none,45751
295,treat_none,45786
295,score,50162
295,random,47254
295,causal,50162
295,treat_all,59942
296,score,50176
296,random,47214
296,causal,50176
296,treat_all,60139
296,treat_none,45737
297,treat_none,45693
297,random,47109
297,causal,50114
297,score,50114
297,treat_all,59730
298,score,50421
298,random,47363
298,treat_none,45965
298,causal,50421
298,treat_all,60054
299,random,47061
299,causal,50003
299,score,50003
299,treat_none,45632
299,treat_all,59797
300,treat_all,59963
300,causal,50158
300,treat_none,45735
300,random,47187
300,score,50158
301,treat_all,59990
301,treat_none,45782
301,score,50226
301,random,47206
301,causal,50226
302,random,47167
302,treat_all,60010
302,causal,50137
302,treat_none,45720
302,score,50137
303,treat_none,45483
303,treat_all,59669
303,causal,49944
303,random,46904
303,score,49944
304,treat_all,59691
304,causal,49877
304,score,49877
304,random,46943
304,treat_none,45454
305,score,50349
305,causal,50349
305,treat_none,45857
305,treat_all,59965
305,random,47216
306,random,47410
306,treat_none,45997
306,causal,50478
306,treat_all,60375
306,score,50478
307,random,47247
307,causal,50161
307,score,50161
307,treat_all,59808
307,treat_none,45861
308,causal,50055
308,treat_all,59914
308,score,50055
308,random,46986
308,treat_none,45705
309,score,50211
309,random,47256
309,causal,50211
309,treat_none,45845
309,treat_all,59868
310,treat_all,59864
310,score,50194
310,random,47218
310,causal,50194
310,treat_none,45797
311,treat_all,59692
311,causal,49991
311,treat_none,45603
311,score,49991
311,random,46981
312,treat_none,45528
312,random,46898
312,score,49972
312,causal,49972
312,treat_all,59875
313,score,50328
313,treat_none,45789
