run_id,policy,outcome
207,treat_none,45925
207,score,44759
208,treat_all,50013
208,random,46295
208,causal,47849
208,treat_none,45840
208,score,44732
209,random,46098
209,causal,47656
209,treat_all,49938
209,treat_none,45661
209,score,44547
210,treat_none,45513
210,random,45959
210,score,44383
210,causal,47574
210,treat_all,49828
211,score,44674
211,treat_all,49917
211,treat_none,45795
211,causal,47770
211,random,46213
212,score,44560
212,treat_none,45612
212,causal,47621
212,treat_all,49950
212,random,46019
213,score,44372
213,treat_all,49944
213,treat_none,45403
213,random,45809
213,causal,47383
214,treat_all,50130
214,score,44602
214,causal,47782
214,random,46204
214,treat_none,45734
215,causal,47553
215,random,46042
215,treat_all,49862
215,score,44489
215,treat_none,45560
216,causal,47712
216,treat_all,50045
216,random,46110
216,score,44555
216,treat_none,45682
217,treat_all,50160
217,random,46249
217,score,44747
217,causal,47835
217,treat_none,45811
218,score,44691
218,random,46267
218,treat_all,49951
218,causal,47793
218,treat_none,45826
219,treat_none,45664
219,random,46066
219,treat_all,49944
219,score,44579
219,causal,47684
220,treat_none,45634
220,score,44513
220,random,46098
220,causal,47626
220,treat_all,49829
221,treat_all,49878
221,random,46024
221,score,44461
221,causal,47613
221,treat_none,45585
222,score,44315
222,random,45915
222,causal,47489
222,treat_all,49875
222,treat_none,45473
223,causal,47816
223,treat_all,50039
223,score,44613
223,random,46218
223,treat_none,45781
224,score,44728
224,random,46162
224,treat_none,45794
224,treat_all,49951
224,causal,47764
225,causal,47713
225,treat_all,50136
225,random,46217
225,treat_none,45794
225,score,44685
226,causal,47477
226,random,45918
226,treat_none,45469
226,score,44362
226,treat_all,49739
227,treat_all,50157
227,random,46238
227,treat_none,45775
227,score,44672
227,causal,47803
228,score,44545
228,treat_none,45634
228,random,45995
228,treat_all,50012
228,causal,47663
229,score,44581
229,treat_none,45759
229,treat_all,49814
229,random,46213
229,causal,47667
230,treat_all,50341
230,causal,48028
230,random,46414
230,score,44915
230,treat_none,45994
231,causal,47897
231,random,46408
231,treat_all,50089
231,score,44780
231,treat_none,45924
232,causal,47709
232,treat_none,45751
232,random,46146
232,score,44637
232,treat_all,49945
233,treat_none,45659
233,score,44525
233,random,46086
233,treat_all,49905
233,causal,47631
234,random,46052
234,score,44434
234,causal,47605
234,treat_none,45600
234,treat_all,49921
235,random,46155
235,treat_all,50015
235,causal,47700
235,treat_none,45722
235,score,44647
236,random,45901
236,causal,47438
236,treat_none,45437
236,treat_all,49819
236,score,44335
237,treat_all,50038
237,random,46248
237,treat_none,45852
237,causal,47842
237,score,44708
238,causal,47399
238,random,45900
238,score,44401
238,treat_all,49659
238,treat_none,45448
239,treat_all,50101
239,causal,47956
239,random,46364
239,score,44836
239,treat_none,45999
240,treat_all,49926
240,score,44511
240,treat_none,45624
240,random,46055
240,causal,47670
241,score,44834
241,treat_none,45909
241,causal,47894
241,random,46339
241,treat_all,50109
242,random,46114
242,causal,47719
242,score,44566
242,treat_none,45672
242,treat_all,50038
243,causal,47626
243,random,45989
243,treat_all,49996
243,score,44400
243,treat_none,45555
244,score,44734
244,treat_none,45841
244,treat_all,50006
244,causal,47822
244,random,46228
245,causal,47966
245,treat_none,45913
245,treat_all,49968
245,score,44796
245,random,46320
246,treat_none,45875
246,causal,47891
246,treat_all,50131
246,score,44760
246,random,46318
247,causal,47853
247,score,44653
247,treat_all,50063
247,random,46261
247,treat_none,45822
248,score,44709
248,random,46258
248,treat_all,49989
248,causal,47775
248,treat_none,45788
249,random,45990
249,treat_none,45609
249,treat_all,49760
249,score,44467
249,causal,47620
250,causal,47685
250,treat_all,50075
250,random,46150
250,score,44498
250,treat_none,45626
251,score,44460
251,random,46008
251,treat_none,45580
251,causal,47579
251,treat_all,49926
252,treat_none,45735
252,treat_all,49975
252,random,46140
252,score,44581
252,causal,47803
253,random,46079
253,treat_none,45621
253,causal,47606
253,treat_all,49858
253,score,44522
254,causal,47621
254,treat_none,45677
254,treat_all,49909
254,score,44577
254,random,46119
255,treat_none,45495
255,treat_all,49808
255,score,44359
255,causal,47484
255,random,45886
256,random,46139
256,treat_none,45753
256,score,44592
256,treat_all,49995
256,causal,47804
257,score,44551
257,treat_all,49944
257,random,46018
257,causal,47696
257,treat_none,45678
258,causal,47708
258,score,44531
258,random,46075
258,treat_all,50040
258,treat_none,45646
259,score,44879
259,random,46390
259,treat_all,50251
259,causal,47904
259,treat_none,45986
260,causal,47822
260,random,46267
260,score,44719
260,treat_none,45872
260,treat_all,49897
261,score,44436
261,treat_none,45569
261,treat_all,49975
261,random,46038
261,causal,47604
262,random,46094
262,treat_all,50045
262,causal,47634
262,treat_none,45669
262,score,44550
263,causal,47770
263,treat_all,50145
263,treat_none,45710
263,random,46118
263,score,44605
264,causal,47368
264,score,44301
264,treat_all,49643
264,random,45843
264,treat_none,45426
265,causal,47774
265,treat_all,49970
265,treat_none,45813
265,random,46237
265,score,44691
266,causal,47738
266,treat_none,45737
266,score,44589
266,random,46126
266,treat_all,50022
267,random,46204
267,treat_none,45781
267,treat_all,49939
267,score,44657
267,causal,47757
268,treat_all,50021
268,treat_none,45680
268,random,46151
268,score,44573
268,causal,47695
269,random,46145
269,treat_all,49955
269,score,44700
269,causal,47715
269,treat_none,45748
270,score,44593
270,treat_all,49917
270,treat_none,45655
270,random,46031
270,causal,47637
271,treat_none,45760
271,treat_all,50014
271,random,46176
271,causal,47751
271,score,44598
272,causal,47553
272,treat_none,45506
272,score,44377
272,random,45901
272,treat_all,49911
273,causal,47614
273,treat_none,45601
273,treat_all,49789
273,random,46024
273,score,44501
274,random,46160
274,score,44644
274,treat_all,49991
274,treat_none,45724
274,causal,47728
275,random,46007
275,treat_none,45593
275,score,44509
275,treat_all,49959
275,causal,47656
276,treat_none,45540
276,random,45975
276,score,44446
276,treat_all,49972
276,causal,47592
277,causal,47628
277,treat_all,49916
277,random,46031
277,treat_none,45647
277,score,44526
278,treat_all,49514
278,score,44297
278,random,45912
278,causal,47437
278,treat_none,45472
279,treat_all,50279
279,random,46372
279,treat_none,45958
279,causal,47952
279,score,44873
280,random,46266
280,score,44679
280,treat_all,50006
280,treat_none,45845
280,causal,47829
281,treat_none,45547
281,causal,47572
281,random,45971
281,score,44412
281,treat_all,49838
282,causal,47684
282,score,44609
282,treat_none,45678
282,random,46134
282,treat_all,50091
283,score,44604
283,treat_none,45720
283,treat_all,49921
283,random,46139
283,causal,47748
284,score,44600
284,causal,47687
284,treat_none,45725
284,random,46111
284,treat_all,49972
285,treat_all,49964
285,causal,47785
285,treat_none,45788
285,score,44667
285,random,46174
286,treat_none,45913
286,score,44793
286,treat_all,49984
286,causal,47896
286,random,46302
287,random,46209
287,treat_none,45809
287,score,44680
287,treat_all,49892
287,causal,47782
288,treat_all,49726
288,causal,47568
288,random,45982
288,treat_none,45538
288,score,44434
289,treat_none,45672
289,random,46105
289,treat_all,50006
289,causal,47705
289,score,44570
290,treat_none,45809
290,treat_all,50021
290,random,46166
290,score,44679
290,causal,47792
291,treat_none,45627
291,causal,47652
291,treat_all,49790
291,random,46030
291,score,44478
292,score,45000
292,treat_none,46125
292,treat_all,50262
292,causal,48153
292,random,46508
293,random,46111
293,treat_none,45720
293,treat_all,49911
293,causal,47678
293,score,44553
294,treat_all,50102
294,score,44674
294,causal,47743
294,random,46212
294,treat_none,45751
295,treat_none,45786
295,score,44620
295,random,46199
295,causal,47746
295,treat_all,50062
296,score,44675
296,random,46227
296,causal,47735
296,treat_all,50159
296,treat_none,45737
297,treat_none,45693
297,random,46063
297,causal,47750
297,score,44574
297,treat_all,49984
298,score,44773
298,random,46364
298,treat_none,45965
298,causal,47936
298,treat_all,50135
299,random,46093
299,causal,47643
299,score,44536
299,treat_none,45632
299,treat_all,49971
300,treat_all,49883
300,causal,47750
300,treat_none,45735
300,random,46169
300,score,44622
301,treat_all,50095
301,treat_none,45782
301,score,44670
301,random,46242
301,causal,47753
302,random,46107
302,treat_all,49804
302,causal,47646
302,treat_none,45720
302,score,44544
303,treat_none,45483
303,treat_all,49970
303,causal,47554
303,random,45955
303,score,44438
304,treat_all,49978
304,causal,47434
304,score,44398
304,random,45910
304,treat_none,45454
305,score,44788
305,causal,47832
305,treat_none,45857
305,treat_all,49963
305,random,46273
306,random,46390
306,treat_none,45997
306,causal,47984
306,treat_all,50162
306,score,44837
307,random,46269
307,causal,47876
307,score,44693
307,treat_all,50126
307,treat_none,45861
308,causal,47745
308,treat_all,49950
308,score,44551
308,random,46087
308,treat_none,45705
309,score,44737
309,random,46224
309,causal,47869
309,treat_none,45845
309,treat_all,50056
310,treat_all,50141
310,score,44714
310,random,46236
310,causal,47838
310,treat_none,45797
311,treat_all,49906
311,causal,47661
311,treat_none,45603
311,score,44470
311,random,46035
312,treat_none,45528
312,random,45988
312,score,44423
312,causal,47525
312,treat_all,49964
313,score,44746
313,treat_none,45789
313,causal,47818
313,random,46225
313,treat_all,50084
314,random,46150
314,score,44598
314,causal,47704
314,treat_none,45712
314,treat_all,50095
315,treat_all,50070
315,causal,47805
315,score,44719
315,treat_none,45812
315,random,46195
316,random,46336
316,treat_all,50138
316,score,44760
316,treat_none,45886
316,causal,47905
317,treat_all,49950
317,causal,47561
317,score,44421
317,random,45965
317,treat_none,45551
318,treat_all,50044
318,score,44651
318,causal,47780
318,random,46212
318,treat_none,45751
319,score,44747
319,treat_all,50120
319,random,46321
319,causal,47820
319,treat_none,45853
320,causal,47705
320,random,46102
320,treat_all,49997
320,treat_none,45700
320,score,44582
321,treat_none,45699
321,score,44571
321,treat_all,50023
321,random,46179
321,causal,47737
322,score,44745
322,random,46271
322,treat_none,45868
322,treat_all,50156
322,causal,47825
323,causal,47506
323,treat_none,45524
323,random,45989
323,treat_all,49985
323,score,44435
324,treat_none,45781
324,score,44622
324,treat_all,49998
324,random,46162
324,causal,47790
325,score,44665
325,random,46220
325,treat_none,45778
325,causal,47741
325,treat_all,50031
326,score,44875
326,treat_none,45990
326,treat_all,50283
326,random,46370
326,causal,48042
327,score,44645
327,random,46138
327,causal,47728
327,treat_none,45723
327,treat_all,50099
328,causal,47592
328,score,44538
328,treat_none,45612
328,treat_all,50198
328,random,46049
329,treat_none,45734
329,random,46210
329,causal,47778
329,score,44604
329,treat_all,49984
330,random,45923
330,causal,47508
330,treat_none,45462
330,treat_all,49883
330,score,44398
331,random,45993
331,treat_all,49928
331,treat_none,45576
331,causal,47651
331,score,44461
332,causal,47724
