run_id,treat_none,treat_all,random,score,causal
416,45438,49790,45846,44356,47424
417,45652,49895,46053,44516,47677
418,45422,49715,45830,44330,47457
419,45697,50012,46108,44571,47684
420,45487,49886,45865,44346,47547
421,45743,50034,46191,44626,47756
422,45612,49982,46095,44514,47588
423,45652,49943,46141,44497,47675
424,45935,50144,46373,44778,47921
425,45374,49748,45747,44220,47456
426,45645,50070,46072,44573,47660
427,45611,49902,46031,44488,47627
428,45731,50026,46139,44593,47693
429,45673,49840,46057,44529,47659
430,45718,49988,46097,44628,47758
431,45713,49876,46215,44625,47763
432,45728,49971,46141,44602,47738
433,45974,50205,46379,44830,48009
434,45725,49893,46120,44616,47687
435,45795,50053,46167,44698,47806
436,45833,50059,46231,44698,47815
437,45790,50045,46217,44643,47774
438,45625,49786,46051,44536,47609
439,45572,50024,45999,44467,47598
440,45529,50080,45959,44414,47616
441,45540,49798,45958,44418,47496
442,45673,50044,46087,44576,47656
443,45803,50101,46209,44730,47793
444,45441,49717,45851,44310,47473
445,45930,50214,46347,44842,47876
446,45576,50001,45996,44471,47646
447,45701,50100,46116,44635,47742
448,45834,50067,46253,44649,47817
449,45894,50233,46270,44783,47884
450,45519,49817,45961,44414,47552
451,45808,50059,46266,44652,47765
452,45818,50055,46259,44669,47802
453,45799,50080,46217,44724,47841
454,45422,49796,45855,44282,47426
455,45596,49874,46025,44513,47667
456,45590,49884,46010,44506,47530
457,45783,49982,46224,44689,47784
458,45944,50172,46393,44812,47976
459,45562,49927,46014,44442,47532
460,45539,49870,46040,44466,47613
461,45821,50014,46245,44743,47780
462,45556,49986,46033,44476,47574
463,45707,49969,46145,44606,47692
464,45434,49804,45832,44279,47454
465,45639,49908,46027,44508,47563
466,45936,50213,46384,44804,47997
467,45787,49995,46201,44718,47809
468,45953,50196,46413,44837,47964
469,45783,50069,46149,44653,47822
470,45786,49922,46164,44627,47817
471,45809,50092,46236,44666,47777
472,45856,50161,46324,44724,47902
473,45785,50075,46183,44660,47788
474,45718,50081,46129,44686,47742
475,45676,50047,46127,44616,47769
476,45640,49972,46102,44615,47657
477,45699,50113,46130,44608,47696
478,45772,50092,46213,44632,47753
479,45820,50055,46173,44702,47860
480,45736,49948,46204,44626,47651
481,45436,49972,45852,44352,47540
482,45630,50117,46049,44572,47709
483,45594,49996,46025,44545,47587
484,45919,50027,46319,44763,47952
485,45824,49959,46270,44719,47805
486,45689,50009,46178,44590,47687
487,45442,49745,45847,44351,47484
488,45589,49808,45963,44461,47570
489,45872,50211,46313,44796,47893
490,45490,49693,45911,44397,47525
491,45555,49737,46018,44437,47575
492,45958,50294,46427,44885,47998
493,45613,49949,46032,44555,47609
494,45867,50065,46321,44745,47828
495,45476,49809,45913,44379,47496
496,45516,50110,45948,44429,47590
497,45897,50078,46363,44789,47898
498,45971,50243,46364,44854,47972
499,45784,50116,46222,44663,47741
500,45784,50137,46219,44646,47835
501,45764,49918,46148,44652,47746
502,45843,50046,46278,44646,47822
503,45788,50125,46241,44667,47779
504,45775,49980,46180,44618,47742
505,45645,49999,46148,44572,47694
506,45383,49797,45805,44255,47409
507,45807,50082,46243,44702,47880
508,45585,49991,46012,44510,47591
509,45902,50112,46321,44772,47878
510,45695,49953,46126,44584,47742
511,45490,49942,45993,44387,47491
512,45610,49905,46111,44448,47603
513,45637,49988,46056,44547,47685
514,45442,49914,45949,44360,47458
515,45874,50138,46309,44756,47867
516,45794,50050,46224,44684,47732
517,45728,50005,46110,44625,47764
518,45609,50089,46076,44497,47652
519,45588,49879,46008,44469,47554
520,45727,50022,46124,44635,47709
521,45603,49916,46015,44559,47608
522,45904,50104,46299,44744,47954
523,45568,49854,45993,44483,47532
524,45733,49975,46113,44625,47709
525,45873,50147,46274,44791,47881
526,45623,49940,46094,44558,47633
527,45754,50044,46211,44626,47731
528,45823,50065,46221,44684,47832
529,45792,49976,46187,44686,47789
530,45625,49899,46026,44421,47658
531,45541,49858,45999,44444,47623
532,45691,50010,46113,44621,47695
533,45296,49697,45734,44171,47413
534,45722,50015,46135,44633,47757
535,45896,50239,46368,44782,47894
536,45635,49830,46072,44524,47679
537,45613,49957,46061,44517,47702
538,45780,49944,46205,44643,47859
539,45708,49983,46115,44633,47751
540,45928,50072,46278,44870,47893
541,45820,50149,46227,44702,47842
542,45760,49979,46171,44639,47749
543,45634,49963,46081,44504,47701
544,45601,49936,46058,44495,47614
545,45802,50001,46207,44705,47785
546,45728,50032,46137,44573,47715
547,45721,49981,46154,44628,47721
548,45691,50124,46178,44544,47723
549,45649,49793,46135,44554,47629
550,45899,50191,46329,44775,47977
551,45508,49883,45991,44344,47555
552,45599,50066,46047,44486,47654
553,45734,50063,46134,44657,47784
554,45811,50065,46189,44657,47809
555,45756,50040,46179,44633,47721
556,45925,50141,46380,44783,47927
557,45703,50047,46130,44636,47770
558,45696,49947,46115,44610,47776
559,45815,50124,46196,44722,47812
560,45666,50006,46067,44563,47671
561,45734,50143,46192,44660,47765
562,45754,50058,46187,44655,47655
563,45613,50144,46105,44564,47610
564,45598,49972,46057,44495,47596
565,45473,49836,45860,44354,47509
566,45466,49868,45915,44373,47437
567,45602,49891,46036,44499,47604
568,45699,50012,46136,44536,47754
569,45714,49995,46141,44595,47739
570,45575,50005,46019,44450,47603
571,45731,49879,46155,44590,47743
572,45530,49926,45955,44449,47547
573,45721,50052,46158,44641,47669
574,45495,49790,45919,44385,47449
575,45738,49994,46155,44590,47743
576,45640,50112,46064,44580,47687
577,45911,50007,46239,44788,47836
578,45685,50088,46099,44606,47638
579,45683,49882,46098,44596,47689
580,45580,49876,46007,44533,47588
581,45921,50194,46302,44832,47943
582,45658,49998,46156,44577,47691
583,45787,49941,46241,44649,47738
584,45756,50117,46176,44641,47826
585,45707,49997,46153,44610,47718
586,45701,49987,46106,44597,47788
587,45672,49764,46044,44543,47606
588,45585,50052,46007,44525,47657
589,45622,49964,46068,44470,47680
590,45701,49959,46170,44627,47734
591,45809,50072,46273,44680,47810
592,45396,49695,45756,44320,47414
593,45684,49938,46069,44579,47709
594,45894,50094,46343,44772,47908
595,45716,50045,46169,44636,47692
596,45721,50026,46172,44594,47753
597,45971,50256,46439,44883,48028
598,45754,50067,46174,44650,47755
599,45597,49925,46032,44520,47662
600,45505,49861,45892,44406,47529
601,45633,49843,46070,44553,47615
602,45569,49934,46006,44415,47642
603,45728,49880,46163,44560,47753
604,45482,49798,45924,44409,47529
605,46096,50385,46537,44972,48161
606,45659,49922,46116,44560,47658
607,45495,49738,45913,44360,47496
608,45902,50049,46291,44725,47956
609,45905,50058,46334,44777,47839
610,45815,50098,46253,44741,47825
611,45676,50148,46105,44617,47701
612,45700,50051,46079,44590,47763
613,45750,50089,46216,44626,47762
614,45818,50116,46243,44668,47811
615,45857,50210,46323,44788,47849
616,45639,49986,46090,44502,47644
617,45632,49711,46081,44569,47604
618,45810,50026,46278,44696,47764
619,45488,49787,45899,44350,47599
620,45718,50038,46151,44627,47722
621,45698,49959,46091,44583,47772
622,45645,49990,46012,44573,47666
623,45468,49780,45890,44386,47435
624,45821,49919,46213,44696,47838
625,45842,50095,46236,44711,47861
626,45744,49991,46123,44674,47675
627,45546,49883,45960,44412,47583
628,45784,50071,46211,44660,47820
629,45782,49981,46193,44715,47765
630,45729,49966,46160,44616,47769
631,45504,49822,45925,44345,47578
632,45636,50021,46097,44518,47616
633,45623,50212,46069,44514,47709
634,45672,50045,46066,44554,47685
635,45636,49988,46059,44550,47662
636,45535,49862,45980,44452,47507
637,45237,49673,45654,44150,47278
638,45542,49797,45931,44429,47618
639,45749,50066,46169,44668,47746
640,45614,49882,46018,44463,47642
641,45658,49928,46102,44579,47636
642,45290,49837,45789,44205,47372
643,45720,49974,46191,44623,47717
644,46029,50242,46450,44909,47959
645,45650,49918,46092,44539,47694
646,45691,50095,46143,44585,47718
647,45882,50069,46322,44731,47946
648,45887,50057,46249,44786,47942
649,45709,49997,46126,44603,47723
650,45789,49998,46203,44662,47823
651,45616,49808,46067,44435,47612
652,45701,50062,46222,44603,47738
653,45800,49957,46169,44675,47741
654,45528,49668,45956,44390,47566
655,45654,49903,46105,44572,47658
656,45490,49837,45949,44363,47485
657,45607,49878,46047,44542,47621
658,45624,50025,46041,44533,47635
659,45878,50059,46268,44751,47778
660,45608,49819,46009,44498,47607
661,45756,49950,46200,44611,47752
662,45579,49946,46008,44484,47621
663,45599,49798,46054,44438,47648
664,45791,50004,46197,44708,47763
665,45782,50130,46193,44650,47753
666,45624,49796,46060,44520,47616
667,45417,49739,45847,44385,47430
668,45495,49952,45917,44357,47543
669,45834,49977,46193,44687,47779
670,45832,50075,46223,44688,47932
671,45963,50120,46389,44876,47898
672,45761,50126,46197,44627,47774
673,45601,49960,46004,44480,47639
674,45930,50426,46368,44827,47996
675,45625,50006,46046,44546,47706
676,45533,49998,45968,44440,47578
677,46105,50268,46546,45035,48049
678,45705,50013,46156,44527,47637
679,45746,50049,46175,44613,47659
680,45591,49903,45997,44460,47571
681,45626,49896,46051,44465,47611
682,45887,49944,46260,44795,47837
683,45713,49995,46128,44594,47687
684,45489,49966,45868,44365,47520
685,45998,50220,46445,44845,47984
686,45682,49952,46092,44574,47775
687,45701,49915,46100,44565,47707
688,45392,49799,45849,44291,47349
689,45618,49820,46076,44494,47660
690,45700,50024,46125,44599,47789
691,45949,50122,46335,44817,47907
692,45573,49971,45985,44437,47646
693,45615,49920,46102,44577,47578
694,45681,50047,46125,44582,47666
695,45836,49957,46240,44671,47799
696,45825,49875,46249,44683,47760
697,45881,50285,46362,44794,47873
698,45466,49748,45890,44315,47549
699,45579,49836,45970,44426,47585
700,45692,50142,46119,44624,47723
701,45787,50024,46163,44694,47761
702,45665,49989,46038,44519,47695
703,45642,49896,46094,44541,47595
704,45623,49864,46031,44471,47577
705,45769,50081,46139,44611,47777
706,45702,50137,46149,44651,47711
707,45578,50018,46006,44501,47585
708,46037,50159,46412,44895,48017
709,45845,50236,46305,44703,47872
710,45716,49836,46139,44616,47698
711,45698,50060,46170,44521,47752
712,45577,50018,46006,44512,47641
713,45602,50046,46081,44555,47575
714,45680,49888,46094,44539,47621
715,45809,50009,46258,44721,47804
716,45716,49942,46181,44618,47749
717,45609,49937,46018,44513,47635
718,45594,49929,45970,44491,47575
719,45746,50099,46153,44634,47701
720,45668,50013,46088,44603,47682
721,45553,49811,45966,44423,47595
722,45722,50117,46128,44598,47741
723,45516,49760,45896,44433,47549
724,45980,50185,46414,44887,47947
725,45446,49692,45930,44338,47425
726,45679,49924,46085,44550,47687
727,45687,49835,46106,44576,47646
728,45658,50046,46035,44559,47667
729,45900,50037,46288,44820,47907
730,45610,49908,46021,44509,47640
731,45483,49906,45925,44329,47486
732,45640,50051,46081,44544,47717
733,45682,49924,46136,44599,47698
734,45648,49973,46057,44527,47652
735,45803,50121,46263,44721,47844
736,45749,50145,46204,44659,47783
737,45723,50051,46170,44557,47763
738,45691,50063,46082,44626,47670
739,45570,49934,46059,44511,47581
740,45621,50012,46025,44504,47623
741,45703,50017,46141,44600,47698
742,45749,50037,46150,44667,47734
743,45824,50074,46229,44718,47821
744,45515,49856,45949,44395,47516
745,45818,50212,46203,44749,47871
746,45549,49846,46000,44414,47568
747,45828,50091,46268,44707,47822
748,45641,50093,46102,44528,47660
749,45545,49791,45963,44418,47555
750,45748,50131,46168,44682,47766
751,45820,50119,46310,44666,47892
752,45708,50022,46151,44628,47712
753,45670,50019,46080,44526,47699
754,45821,50093,46199,44681,47821
755,45799,49948,46268,44674,47798
756,45528,49842,45958,44378,47538
757,45823,50084,46213,44722,47735
758,45717,49925,46127,44579,47764
759,45784,50080,46202,44670,47791
760,45790,49930,46183,44674,47699
761,45849,50207,46258,44712,47871
762,45728,50216,46184,44589,47718
763,45502,49946,45960,44439,47561
764,45637,49863,46020,44525,47646
765,45788,50043,46233,44647,47830
766,45559,49946,45976,44435,47643
767,45645,49923,46068,44554,47666
768,46022,50135,46427,44943,48004
769,45829,50024,46263,44716,47861
770,45715,50026,46099,44585,47730
771,45565,49974,46017,44498,47648
772,45932,50100,46305,44775,47925
773,45603,49917,46062,44536,47570
774,45609,49922,46040,44468,47671
775,45600,50043,45985,44538,47568
776,45633,49924,46033,44516,47689
777,45524,49873,45921,44423,47538
778,45617,49826,46036,44532,47605
779,45830,50007,46253,44726,47818
780,45480,49859,45954,44359,47545
781,45605,49874,45959,44507,47601
782,45753,50017,46183,44658,47756
783,45835,50110,46239,44697,47847
784,45782,49903,46233,44705,47701
785,45742,49957,46198,44647,47759
786,45817,50123,46240,44680,47863
787,45515,49906,45966,44411,47577
788,45589,50036,46005,44451,47614
789,45542,49816,45953,44443,47555
790,45744,49909,46150,44661,47678
791,45854,50120,46284,44760,47875
792,45669,49865,46108,44627,47687
793,45495,49820,45910,44424,47511
794,45718,49854,46183,44525,47679
